USERID,ITEMID,RATING,LATITUDE,LONGITUDE
774,h:6391,1,48.579718,7.746161
12021,h:1032,1,40.883266,-74.242431
16925,h:568,1,44.98186,-93.277445
9889,h:302,1,33.6775,-111977
5417,h:528,1,42.349535,-71.040589
3294,h:7918,1,33.765293,-84.286529
4544,h:9072,1,51.643314,-0.037275
5303,h:10622,1,33.997547,-81.038246
7462,h:1447,1,40.730674,-73.990924
5370,h:4663,1,-6.886135,107.618412
15970,h:6062,1,39.853976,-75.540755
122,h:20,1,37.776643,-122.394868
9257,h:18008,1,38.94815,-92.326614
8931,h:150,1,40.745702,-73.98786
1681,h:875,1,40.6617,-74.2022
7918,h:156,1,40.741964,-74.004793
17145,h:21248,1,34.750208,-92.287418
6514,h:1799,1,35.470121,-97.572088
5708,h:13045,1,43.336351,12.902811
13930,h:772,1,39.285809,-76.61065
11749,h:3194,1,40.471322,-3.656194
3063,h:1177,1,39.169738,-76.785482
9692,h:4852,1,34.15065,-118.43999
12035,h:21192,1,34.259784,-118.315757
4209,h:5072,1,-22.981005,-43.19941
10230,h:38148,1,45.753217,8.819419
13447,h:3448,1,45.470477,9.203574
4506,h:874,1,40.692785,-74.173153
8033,h:14,1,37.191777,-121.713139
1333,h:4930,1,41.925814,-88.740714
14778,h:162,1,40.756988,-73.982525
5542,h:160,1,40.718735,-73.851003
11319,h:1638,1,41.658754,-70.610253
3654,h:14,1,36.333455,-121.232309
14862,h:17233,1,28.087397,-80.625466
9652,h:23,1,37.808942,-122.252995
6101,h:509,1,39.988325,-82.898283
1136,h:13794,1,41.563228,-83.648077
13967,h:3381,1,41.043087,-73.796235
9970,h:57,1,34.014818,-118.49502
1396,h:3620,1,51.543968,-0.175367
8471,h:19561,1,38.927824,-104.742491
11013,h:5563,1,51.477157,7.216619
6081,h:32661,1,49.901054,10.923607
11307,h:26782,1,26.11779,-80.256554
8025,h:13172,1,47.441528,-121.673541
5410,h:12875,1,40.750736,-73.9888
422,h:6844,1,44.069372,10.077951
17330,h:1802,1,47.381218,8.531076
15143,h:25973,1,38.712327,-77.792588
1840,h:18535,1,30.438314,-97.758172
12361,h:6206,1,35.819609,-78.623473
6012,h:3448,1,45.455412,9.199452
7944,h:7198,1,40.054602,-76.356199
10513,h:14839,1,40.423028,-74.193388
17706,h:88,1,40.725959,-74.001685
15111,h:738,1,42.366455,-71.074827
1323,h:14493,1,51.5013,7.5098
17744,h:1890,1,21.38316,-157.938805
1235,h:156,1,40.743914,-73.992341
9259,h:249,1,40.777081,-73.978987
9394,h:22449,1,34.785431,-82.294493
15071,h:86,1,36.134809,-115.156284
17055,h:3885,1,38.424042,-82.428403
687,h:1647,1,40.772568,-73.983768
12986,h:31517,1,47.463394,9.037457
4397,h:14223,1,39.131164,-84.516303
16925,h:7670,1,44.918213,-92.93264
602,h:1269,1,51.540422,-0.096649
870,h:58,1,33.944302,-118.408158
15250,h:4703,1,41.475789,-81.688897
11660,h:1638,1,41.914445,-70.5539
16876,h:2326,1,34.002457,-118.484017
17131,h:9391,1,25.719701,-80.279578
14317,h:5905,1,40.764433,-111.873946
1880,h:405,1,37.735616,-122.427382
8554,h:870,1,36.053959,-115.175834
11778,h:4444,1,43.077086,-89.429398
4102,h:6794,1,40.306689,-73.977549
13124,h:264,1,41.8925,-87.6243
4348,h:3317,1,37.333427,-122.029457
8260,h:42,1,32.748355,-117.12737
15664,h:4420,1,34.025962,-118.38947
4970,h:5339,1,40.225987,-74.003875
8556,h:1209,1,33.310351,-111.818536
8512,h:22793,1,39.740614,-104.872399
4417,h:14633,1,40.67294,-73.87076
1154,h:1873,1,43.961137,-83.263536
6266,h:23744,1,40.415604,-80.030893
3165,h:833,1,47.613856,-122.345298
3521,h:1217,1,40.668398,-73.980351
1282,h:853,1,40.74516,-74.266322
12716,h:720,1,32.949887,-97.091294
11529,h:235,1,33.45333,-112.074569
2445,h:843,1,47.438923,-122.302661
12105,h:20384,1,32.70888,-117.155091
3525,h:1039,1,40.743428,-74.12226
17993,h:3143,1,38.669981,-90.583777
11081,h:11,1,37.768587,-122.415636
3910,h:13126,1,47.501775,8.723661
10392,h:3461,1,40.685704,-74.001881
12563,h:14280,1,45.638929,12.17011
14518,h:6254,1,35.200526,-80.85223
15491,h:2360,1,32.274887,-80.935107
17338,h:42697,1,31.086685,-84.86139
5204,h:3554,1,43.053951,-87.900468
10589,h:7881,1,41.964524,-87.758446
16314,h:1407,1,37.6833,-122.471433
17142,h:2670,1,-23.584672,-46.655838
60,h:1541,1,1.471085,124.833687
5288,h:4879,1,42.328993,-83.041028
12720,h:40171,1,42.872681,-78.819135
1786,h:18307,1,52.89065,-1.114764
16141,h:2499,1,38.976027,-76.505606
8513,h:5856,1,51.798134,5.256894
8841,h:10091,1,39.959191,-82.998823
11218,h:2690,1,40.749527,-73.594566
2171,h:3641,1,42.365647,-71.121755
17435,h:41353,1,33.609123,-112.09887
8364,h:187,1,40.767543,-73.954525
15698,h:16108,1,40.729265,-73.699481
14862,h:17233,1,28.077906,-80.627655
7310,h:34724,1,25.672336,-80.372087
16811,h:260,1,33.882582,-84.249531
2225,h:1,1,37.77587,-122.408665
13094,h:738,1,42.369591,-71.077271
17446,h:528,1,42.334567,-71.089557
5132,h:1740,1,43.325953,-73.681648
3191,h:156,1,40.742055,-73.993564
2691,h:3469,1,41.93427,-74.019504
17530,h:2360,1,33.659332,-79.078953
14247,h:6782,1,40.716495,-73.787027
17839,h:754,1,51.512259,-0.132074
5140,h:5233,1,34.866884,-82.355424
12361,h:371,1,36.131419,-86.669254
17803,h:424,1,38.891506,-77.033676
13886,h:23870,1,39.83768,-75.148159
125,h:2610,1,-8.703926,115.176087
4463,h:742,1,42.370254,-71.117751
17986,h:28062,1,33.540402,-86.697274
16564,h:9640,1,34.285279,-118.775868
7391,h:4775,1,40.712278,-73.861404
16334,h:22247,1,40.254534,-74.552157
3211,h:2014,1,32.794529,-96.800119
8421,h:31603,1,19.715101,-155.106568
8429,h:36243,1,39.816502,-105.08154
13569,h:40745,1,30.282991,-81.97821
16110,h:1212,1,33.308949,-111.74087
9944,h:35898,1,26.118321,-80.170207
15979,h:142,1,40.719411,-73.988955
4368,h:10828,1,21.646661,-157.927487
2744,h:10228,1,44.97686,-93.257378
7715,h:35243,1,39.49253,-0.360723
13282,h:319,1,33.43423,-111.933137
1887,h:6472,1,42.884979,-85.554078
11529,h:16986,1,33.458822,-112.071522
6081,h:32661,1,49.917781,10.885999
864,h:11490,1,40.609753,-74.00674
5098,h:27520,1,-6.590445,106.769688
4739,h:1236,1,40.78447,-73.977395
9708,h:1217,1,40.671427,-73.973241
3163,h:2615,1,-6.28861,106.856382
11070,h:25717,1,30.464739,-84.235385
450,h:86,1,36.113263,-115.176179
17554,h:520,1,32.880959,-117.234058
14778,h:865,1,40.753005,-73.992003
8320,h:158,1,40.736852,-73.989401
10941,h:2749,1,-6.181988,106.80032
11626,h:7549,1,36.03413,-79.961759
7533,h:428,1,40.170936,-74.893058
14718,h:1177,1,39.074155,-76.90526
2885,h:597,1,37.583411,-121.993498
4357,h:768,1,40.776815,-86.067149
14797,h:9557,1,35.043006,-106.744576
16765,h:391,1,37.415597,-122.078023
3328,h:873,1,40.7387,-73.9947
12330,h:15491,1,43.045129,-87.910804
1213,h:1802,1,47.380833,8.529457
8750,h:26903,1,45.032433,-92.822797
16700,h:359,1,49.283424,-123.114697
6112,h:10621,1,34.017092,-80.964259
12175,h:2758,1,40.951009,17.293002
2028,h:12484,1,29.780723,-95.623983
11451,h:10224,1,44.950039,-93.087845
3560,h:141,1,40.728947,-73.984395
1927,h:7141,1,29.52135,-98.48637
12979,h:786,1,47.6123,-122338
16937,h:2686,1,40.76518,-73.81914
2467,h:21769,1,41.100197,-80.648854
16243,h:145,1,40.715768,-73.991511
1941,h:9893,1,44.854317,-93.242254
502,h:4427,1,41.822165,-71.392238
10997,h:444,1,37.806606,-122.421774
2657,h:6171,1,-16.648423,-49.257663
3950,h:20855,1,42.972263,-85.65757
